name,bio,expertises,total_ratings,avarage_rating
Sabrina Marinho de Oliveira,"Prazer, me chamo Sabrina Marinho e atuo pelo viés da psicanálise. Através da fala e da escuta, auxilio você em seu processo de autoconhecimento e resolução de conflitos. , , Trabalho com a clínica infantil e orientação de pais.  Baseio-me na Disciplina Positiva para incentivar uma criação baseada no afeto, respeito e empatia. , , Sou uma das mentoras e idealizadoras do curso AME - Amor Maternidade & Equilíbrio - que em breve estará disponível!  , , Aproveita e da uma passadinha lá no Instagram pra me conhecer melhor - @sabrinamarinhopsi, , Qualquer coisa fico à sua disposição :),","Acompanhamento pessoal, Conflitos Amorosos, Conflitos Familiares, Desenvolvimento Pessoal, Estresse, Infância, Morte e Luto, Orientação de pais, Psicologia Clínica, Psicologia Social, Relacionamentos Afetivos, Saúde Mental, Violência Doméstica, Violência Sexual, Sexualidade e identidade de gênero, Adolescência, Maternidade, Puerpério, Parentalidade",20,4.95
Sâmara Adaliane Vieira Gonçalves,"Olá! Se chegou até aqui, está em buscas de mudanças e o primeiro passo para alcançar esse objetivo foi dado! Eu, Sâmara Vieira, Psicóloga Clínica e Pós-graduanda em Terapia Cognitivo Comportamental, estou aqui para ajudar neste processo!  , , Passamos por momentos da vida que achamos que não vamos suportar! Excesso de desânimo, estresse, insegurança, momentos de raiva constantes, angústia, medos e ansiedade prejudicam todos os aspectos da vida, mas dentro de um contexto terapêutico, vamos desenvolver a capacidade de melhor compreender e lidar com as emoções e sentimentos. , , Através da Terapia Cognitivo Comportamental, abordagem pela qual utilizo em meus atendimentos, vamos identificar padrões de comportamento, pensamento, crenças e hábitos que estão na origem das questões que trazem sofrimento, ressignificando aspectos importantes e trazendo o autoconhecimento! , , Vale lembrar que ambiente terapêutico é seguro, livre de julgamentos e preconceitos, é o momento em que eu estarei com você para se expressar da forma que se sentir melhor e falar sobre o que quiser! , , Se faz sentido para você, vamos marcar um horário?,","Acompanhamento psicológico de Gravidez, Ansiedade, Casamento, Cirurgia Bariátrica, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Estresse, Estresse Pós Traumático, Família, Medos e Fobias, Morte e Luto, Psicologia Clínica, Psicologia do Trânsito, Síndrome do Pânico, TOC (Transtorno Obsessivo Compulsivo), Transtorno de Humor, Incertezas quanto ao momento e futuro, Avaliação Psicológica, Sexualidade e identidade de gênero, Maternidade, Puerpério",121,3.512396694214876
Diana Carolina Rossi,"Você já parou para pensar na importância da sua qualidade de vida? Mas pensar MESMO, a ponto de avaliar como ela nos faz ser quem somos consigo mesmo e com os outros? O que eu quero dizer, é que sem a manutenção da sua saúde mental, você vai apenas se acostumar a viver uma vida que não merece e você não deve se acostumar com isso. Por isso, a terapia é essencial! Faça terapia para se conhecer, para melhorar a auto-estima, para quebrar velhas crenças e padrões sobre você ou sobre o mundo, leve para a terapia questões mais profundas, ou até mesmo questões que te façam entender que não é porque algo foge do nosso controle, que o nosso bem estar tem que ir junto., Afinal, somos seres de escolhas, experiências e processos diferentes. Por isso, quero te convidar para viver os seus processos e começar a construir HOJE a pessoa que você quer ser nos próximos anos. , Eu sou a Diana, Psicóloga Clínica pela abordagem da Terapia Cognitivo Comportamental, e quero ajudar você a conhecer todo esse universo incrível que é a terapia! , Me procure para esclarecer qualquer dúvida ou agende sua consulta!, Ah! E me segue no insta:, @psicologa.dianarossi (lá você pode me conhecer ainda mais e interagir comigo). Até mais, hein!,","Acompanhamento psicológico de Gravidez, Acompanhamento psicológico de idosos, Ansiedade, Conflitos Amorosos, Desenvolvimento Pessoal, Família, Idoso / Terceira Idade, Morte e Luto, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Adolescência",16,5.0
Yuri De Jesus Costa,"Ola, Bem vinda(o)! , , Me Chamo Yuri Costa, sou psicólogo clínico, formado pelo centro Universitário  Una  Belo Horizonte MG. A psicoterapia é um conjunto de praticas, entre o psicólogo e paciente para diminuir sofrimentos, interpretar eventos comportamentais, aplicar técnicas em reabilitações, entendimento pessoal, ressignificação.   ,","Ansiedade, Conflitos Amorosos, Depressão, Desenvolvimento Pessoal, Estresse, Infância, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Sexualidade e identidade de gênero",77,4.974025974025974
Júlio Callegario de Almeida Pinho,"Psicólogo clínico e psicoterapeuta com doze anos de experiência, atuando nas mais diversas áreas com crianças, adolescentes, adultos e idosos., , Considero a psicoterapia um espaço valioso, onde você pode se conhecer mais, entendendo o que é importante pra você e tratando de vivências difíceis., , Meu objetivo é proporcionar a você um espaço de diálogo e escuta empática, onde é possível romper o ciclo de sofrimento e retomar o fluxo do seu existir, encontrando sentido para sua vida e desenvolvendo relacionamentos significativos.,","Ansiedade, Casal, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Idoso / Terceira Idade, Medos e Fobias, Morte e Luto, Pacientes Enfermos, Pessoas com deficiência, Preparação para aposentadoria, Psicologia Clínica, Psicologia Social, Relacionamentos Afetivos, Saúde Mental, Violência Doméstica, Violência Sexual, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Adolescência",0,0
Joyce Lucas de Oliveira,"Psicóloga Clinica Pós Graduada na Terapia Cognitiva Comportamental., Ampla experiência em Ansiedade, Relacionamento Abusivo, Terapia de Casal. , Curso também na área de Psicologia Perinatal e Sexologia,","Acompanhamento psicológico de Gravidez, Acompanhamento pessoal, Ansiedade, Casal, Conflitos Amorosos, Desenvolvimento Pessoal, Orientação de pais, Orientação Profissional, Orientação psicológica, Psicologia Clínica, Relacionamentos Afetivos, Sexualidade e identidade de gênero, Maternidade, Puerpério, Psicologia Perinatal",28,5.0
Fernanda Gomes de Melo Lima,"Uma professora ao longo da minha formação um dia disse ""eu transformo as dificuldades em possibilidades"". Hoje, levo essa frase como um mantra pois acredito que...,","Ansiedade, Compulsões, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Depressão, Desenvolvimento Pessoal, Estresse, Família, Medos e Fobias, Morte e Luto, Psicologia Clínica, Psicologia Social, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero",50,5.0
Talita Sara Ferreira da Silva Gouvêa,"Olá, seja bem-vinda (o)! Me chamo Talita Sara e fico imensamente feliz em ver que você deu mais um passo para o cuidado com a sua saúde mental., ,  Muitas vezes vamos deixando de lado os nossos medos,  angústias,  traumas e  dores, mas eles não desaparecem, pelo contrário, retornam com maior força e de um modo que mal conseguimos enxergar a sua causa. Logo, é importante fazermos uma autoanálise, mas sempre de forma acolhedora; acolhendo o que aconteceu conosco e também com o que fizemos a respeito., A psicoterapia é um dos caminhos que pode te proporcionar esses aspectos, pois é baseada em ciência, estudos teóricos, métodos e muuuita humanidade, pois para além do que já foi mencionado, o terapeuta é uma das chaves essenciais da psicoterapia e deve proporcionar acolhimento, generosidade e empatia.,  Dessa forma, a psicoterapia pode oportunizar ao paciente uma ampliação dos horizontes e a visão por outros ângulos, integrando aspectos ocultos da  personalidade, possibilitando assim, uma vida autêntica, na qual o sujeito é dono da sua história e não mais refém das que coisas que  correram e/ou ocorrem com ele. , , Dito isto, seria uma honra poder te acompanhar nesse lindo processo para uma vida autêntica! Vamos juntos iniciar essa jornada?, , * Caso tenha dúvidas ou queira me conhecer um pouquinho mais, fique a vontade para falar comigo pelo WhatsApp ou me seguir nas redes sociais @talitasara.psi. , ,","Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Família, Fobia Social, Medos e Fobias, Relacionamentos Afetivos, Saúde Mental, Suicídio, Transtorno de Humor, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro",101,4.9504950495049505
Maria Fernanda do Nascimento Carvalho,"Olá, me chamo Fernanda Carvalho, sou psicóloga formada pela Universidade Uninassau, e atualmente estou atendendo com ênfase na abordagem TCC (Terapia Cognitivo-Comportamental). , (Para prosseguir com o texto: a plataforma apresenta uma série de problemas ultimamente, então quando agendar um horário fala comigo no whatsapp para confirmar se foi realmente agendado e não aconteça nenhum contratempo com horários ou falhas de sistema)., O meu público alvo é: Adolescentes, adultos e idosos. Busco ser uma mediadora para meus pacientes em suas demandas, de forma humanizada, acolhedora e empática. , E para que a terapia, para quem, em que momento ela se faz necessária? Ao contrário do que se pensa, não se recomenda apenas para pessoas com transtornos mentais. Todos nós em algum momento vamos ter questões que precisam de atenção e soluções, e eu como profissional estarei auxiliando nesse processo. A psicoterapia vai ser algo agradável e ajudará na expressão de emoções e solução de problemas internos e externos.,  O meu papel aqui, não é ditar o que deve ser feito ou não, mas sim, facilitar o autoconhecimento e despertar soluções transformando a vida positivamente. A vida pode ser desafiadora, mas você não precisa fazer essa jornada sozinho., ,","Acompanhamento psicológico de Gravidez, Acompanhamento pessoal, Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Entrevistas Psicológicas, Estresse, Estresse Pós Traumático, Família, Pacientes Enfermos, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Transtorno Bipolar, Transtorno de Humor, Violência Doméstica, Incertezas quanto ao momento e futuro, Avaliação Psicológica, Adolescência, Maternidade, Puerpério",6,5.0
Luisa Nunes,"Te ajudo no processo de autoconhecimento e lidar melhor com as emoções.,","Acompanhamento pessoal, Ansiedade, Conflitos Familiares, Desenvolvimento Pessoal, Estresse, Família, Infância, Medos e Fobias, Orientação de pais, Psicologia Clínica, Psicologia Hospitalar, Relacionamentos Afetivos, Saúde Mental, Transtorno de Humor, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Adolescência, Dependência em Jogos, Ludoterapia, Tecnologia, Maternidade, Parentalidade",2,4.5
Katiussia Viana da Silva,"Olá, me chamo Katiussia, e sou Psicóloga Clínica e Psicoterapeuta, trabalho com á abordagem em TCC (Terapia Cognitiva Comportamental). Atendo jovens e adultos de forma online que buscam na terapia uma melhora na autoestima e um autoconhecimento para lidar e conseguir uma resolução de conflitos internos. Por vezes nos sentimos tão perdidos e confusos que não conseguimos uma direção certa a prosseguir. Por outras, procuramos uma nova versão de nós mesmos. Quero ajudar você que se sente neste momento perdido, triste e confuso as vezes nem sabe o motivo, e sente que está em conflito consigo mesmo. Aguardo seu contato para juntos construirmos uma nova versão de você mesmo. Agende seu horário., Para conhecer o meu trabalho acesse @katiussiavianapsi.,","Ansiedade, Conflitos Amorosos, Depressão, Desenvolvimento Pessoal, Emagrecimento, Estresse, Orientação para problemas de aprendizagem, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), TOC (Transtorno Obsessivo Compulsivo), Transtornos do Sono, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",39,5.0
Ana Lucia Silva Soares,"Bem vindo(a)! Sou Ana Soares, psicóloga, ajudo pessoas a gerenciar suas emoções, fortalecendo sua autoestima para transcender e empreender seus relacionamentos. Meu papel como psicóloga clínica é ofertar um ambiente acolhedor, com diálogo sem julgamentos, escuta aprimorada pelo acolhimento e sigilo., , Se você está se sentindo angustiado, frustrado, sofrendo pela falta de confiança em si mesmo, sente-se meio para baixo e paralisado por excessos de medo, pode ser um indicativo que você precisa da ajuda de um profissional psicólogo. Quero te dizer que você está no lugar certo, eu posso te ajudar a chegar no próximo nível da sua vida usando ferramentas precisas no desenvolvimento de habilidades necessárias para sua transformação e mudando aquilo que se deve mudar, identificando seus padrões de comportamentos, e qual é a emoção predominante para entender quem é você, qual é o seu projeto de vida., , Trabalho com profissionalismo trazendo competências de valor no atendimento com a psicoterapia e tendo foco em melhorar a qualidade de vida das pessoas, estimulando mudanças comportamentais com o objetivo de ajudar você a se conectar consigo mesmo descobrindo novas formas de lidar com os problemas diários, com a diversidade de sofrimentos e questões emocionais., , Trabalho com importância de fato nas temáticas relacionadas com a autoestima, medo, autoconhecimento, traumas, violência doméstica, luto, depressão, ansiedade, conflitos familiares, fobias, entre outras, trazendo à tona o quão importante é tratar as mazelas que afetam nossa vida e que impedem as mudanças necessárias, principalmente aquelas que afetam as emoções tirando-nos do nosso eixo central e desencadeando situações adversas. Você vai descobrir porque é tão importante encontrar um ponto de equilíbrio para amenizar os impactos disfuncionais na sua vida., , Tenho experiência no atendimento a adolescentes, jovens e adultos, e a população LGBT+.,","Ansiedade, Conflitos Amorosos, Conflitos Familiares, Depressão, Estresse, Fobias, Medos e Fobias, Morte e Luto, Obesidade, Orientação de pais, Psicologia Clínica, Relacionamentos Afetivos, Síndrome do Pânico, Suicídio, Violência Doméstica, Quarentena e Isolamento Social, Avaliação Psicológica, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero",53,5.0
Isabela Mendes,"Olá! Seja bem vinda (o), auxilio pessoas a lidar com a ansiedade e depressão. Para que possam caminhar para uma vida mais significativa e valiosa. Atuo com a Ps...,","Ansiedade, Casal, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Dor, Estresse, Infância, Orientação de pais, Orientação Profissional, Orientação psicológica, Psicologia Clínica, Saúde Mental, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero, Adolescência",80,4.9375
Julia Rodriguez Hawthorne,"Olá! Sou Julia, psicóloga formada na Universidade Tuiuti do Paraná (UTP). Uso como abordagem na prática clínica, a psicologia analítica junguiana., , A psicoterapia é um valioso caminho para o encontro consigo mesmo. Através deste é possível promover mudanças importantes para as diversas áreas da vida. Sendo o objetivo construir uma vida melhor a partir do desenvolvimento de recursos internos para lidar com os obstaculos deste caminho, sejam eles baseados em perdas, bloqueios, conflitos, mudanças, traumas ou um pouco de tudo isso., , Os assuntos trazidos a sessão serão acolhidos e trabalhados com cuidado e respeito aos seus limites. , É possível trabalhar a análise de sonhos e expressões artísticas (como desenhos, músicas e textos) como facilitadores do seu processo, caso seja do seu interesse., , Mande uma mensagem caso tenha alguma dúvida., Se assim quiser, será um prazer te acompanhar ao longo dessa jornada. Aguardo por você :),","Acompanhamento pessoal, Ansiedade, Casamento, Compulsões, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Depressão, Desenvolvimento Pessoal, Dor, Estresse, Família, Medos e Fobias, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Incertezas quanto ao momento e futuro, Adolescência",4,5.0
José Tadeu Acuna,"Meu nome é José Tadeu Acuna. Sou psicólogo, especialista em psicologia escolar, inclusão e desenvolvimento. Mestre e Doutor em Psicologia do desenvolvimento e aprendizagem. Além disso, sou formado em pedagogia e tenho experiência na docência no ensino superior., Parto do princípio que o trabalho em psicologia deve ser realizado em colaboração com o cliente, um processo ativo e dialogado em que profissional e cliente buscam formas de alcançar as metas construídas colaborativamente. Inicialmente, é realizada uma avaliação do caso, levantamento de características da pessoa e de suas necessidades, para que depois seja construído um plano de intervenção., Atuo nas faixas etárias, infância, adolescência, fase adulta e terceira idade. Para além dos cuidados com a saúde mental e empoderamento pessoal, também há possibilidade de orientação orientação profissional. Destaco o atendimento à comunidade LGBTQIAPN+ e suas demandas, como questões sobre autoaceitação, conflitos amorosos e familiares,","Ansiedade, Conflitos Amorosos, Depressão, Desenvolvimento Pessoal, Morte e Luto, Orientação Profissional, Psicologia Clínica, Psicopedagogia, Saúde Mental, Transtorno Bipolar, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Adolescência",0,0
Eduarda Coser,"ACESSE MEU VÍDEO e veja como posso te ajudar nesse processo.,  Olá, sou Psicoterapeuta de orientação psicanalítica, me empenho na construção de um viver mais sau...,","Acompanhamento pessoal, Ansiedade, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Fobias, Medos e Fobias, Morte e Luto, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Transtorno de Humor, Adaptação ao Home Office, Desenvolvimento de Competências Profissionais, Avaliação Psicológica, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero, Adolescência, Dependência em Jogos",52,5.0
IVANA ANDRADE,"Sou Psicóloga Clínica há mais de 25 anos, com atendimentos individuais, casal e família., Minha abordagem é a Terapia Sistêmica, considerando não só como foco o paciente, mas todo seu contexto (social, familiar, trabalho, etc.), dando-lhe mais segurança para tomada de decisões, a partir do seu autoconhecimento.  Também atuo com terapias de luto, violência sexual, distúrbios alimentares, crises de pânico, depressão, ansiedade, síndrome de burnout e outros., ,","Acompanhamento pessoal, Ansiedade, Casal, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Estresse, Família, Medos e Fobias, Morte e Luto, Psicologia Clínica, Psicologia Organizacional, Relacionamentos Afetivos, Síndrome do Pânico, Transtorno Bipolar, Transtornos Alimentares (Bulimia, Anorexia, etc), Violência Doméstica, Violência Sexual, Quarentena e Isolamento Social, Adaptação ao Home Office, Avaliação Psicológica, Sexualidade e identidade de gênero",0,0
Raylane Millena Kruger,"Olá, te desejo boas vindas ao meu perfil!, , Sou psicóloga (CRP 08/33017) e especialista em Psicologia do Desenvolvimento e Aprendizagem. Atuo com a abordagem fenomenológica existencial, que busca compreender as experiências vividas por você e como elas impactam sua vida. Assim, a terapia contribui para o processo de tomada de consciência de sua existência, proporcionando transformações em diversos aspectos da vida. Meu objetivo é oferecer um espaço seguro e acolhedor para que você se sinta à vontade para explorar suas preocupações e emoções, buscando conhecer a forma que você se relaciona com os obstáculos e os objetivos em sua vida., , Além de temas como ansiedade, depressão e relacionamentos, minha atuação é feita considerando questões de gênero, raça, classe e sexualidade. , , Sinta-se à vontade para entrar em contato comigo através de mensagem ou marcar uma consulta para iniciar essa jornada de autoconhecimento e autodescoberta. , , Caso não encontre disponível o horário que precisa, saiba que pode entrar em contato comigo via WhatsApp ou e-mail para verificar a possibilidade de encaixe., , Até logo!,","Ansiedade, Aprendizagem, Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Fobia Social, Fobias, Medos e Fobias, Orientação para problemas de aprendizagem, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Violência Doméstica, Violência Sexual, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",7,5.0
Charleny Fucolo Almeida,"Olá. Imagino que estejas passando por um momento delicado em sua vida e que estejas buscando um lugar de acolhimento para organizar as suas ideias e emoções, um espaço de escuta, de confiança, em que você possa se abrir, tendo a certeza que não será julgado., Então, seja muito bem vindo (a)!! , Aqui encontrarás a escuta atenta, a validação e a empatia que buscas, em um espaço de sigilo e de muito respeito pela sua dor., Gostaria que soubesses que o viver é um processo de impermanência, no qual constantemente somos acometidos por episódios de mudança, e muitas das vezes somos frustrados em nossos planos e projetos, necessitando dar um passo em direção ao recomeço. , Neste momento é preciso se recolher, recuar, acolher as dores, reconhecer as potencialidades e ter a coragem para ir adiante. Passar por este processo pode ser difícil, mas não precisa ser solitário. Você pode contar com a minha ajuda!, Sou Psicóloga Clínica e realizo atendimento psicoterápico a adultos, desenvolvendo minha prática profissional baseada na abordagem sistêmica, que considera não só como foco o indivíduo, seus pensamentos e emoções, mas também a forma como este se relaciona, compreendendo a dinâmica familiar, e seus relacionamentos.  , Agende a sua consulta para  identificar, compreender e  lidar com seus pensamentos e emoções, de um modo mais consciente e criativo, ganhando assim, mais qualidade nas suas interações., Te aguardo. Fique bem., ,","Ansiedade, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Família, Morte e Luto, Orientação de pais, Orientação psicológica, Pacientes Enfermos, Pessoas com deficiência, Relacionamentos Afetivos, Saúde Mental, Transtorno Bipolar, Transtorno de Humor, Adaptação ao Home Office, Incertezas quanto ao momento e futuro, Parentalidade",330,0.9848484848484849
Sabrine Sbardelotto,"Sou a Sabrine, sou psicóloga e acredito muito na força do vínculo e das relações criadas em um ambiente de psicoterapia. As primeiras sessões dos meus atendimentos utilizo para conhecer a história e o principal ponto que o paciente busca auxílio na terapia. Conforme o entendimento do caso, os desdobramentos e o tratamento vão acontecendo. A troca de falas e conversas em um atendimento são a matéria prima da psicoterapia. Por aqui você terá um ambiente seguro, acolhedor e acalentador, onde será aceito exatamente do jeito que você é. Seja bem vindo e vamos desfrutar juntos do seu processo de autoconhecimento!,","Acompanhamento pessoal, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Infância, Psicologia Clínica, Saúde Mental, Violência Doméstica, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Desenvolvimento de Competências Profissionais, Sexualidade e identidade de gênero, Adolescência",0,0
Thaisy Rosane Moraes da Silva,"Olá, como posso te ajudar?,       Me chamo Thaisy, sou psicóloga clínica com ênfase na teoria cognitivo comportamental e atendo jovens e adultos. ,   Como trabalho:, * Trabalho em conjunto "" eu e você"", protagonismo, compromisso e parceria., * Acolhimento humanizado e escuta ativa com enfoque no não julgamento., * Equipe multidisciplinar: parceria com outros profissionais com o foco no mesmo objetivo "" seu bem-estar"", * Plano de tratamento baseado nas necessidades do cliente com objetivo, foco e estabelecimento de metas para terapia, , Disponho de experiência em quadros ansiosos e depressivos, conflitos familiares e autoconhecimento. ,        Nosso (eu e você) principal objetivo é te auxiliar a restituir um bom funcionamento psicológico, ofertando suporte e técnicas que vão te ajudar a lidar com emoções, construir novas habilidades cognitivas e comportamentais, podendo assim aliviar o sofrimento em prol do bem-estar e qualidade de vida., Me coloco a disposição para juntos entendermos o que te causa dor.  , , ,","Acompanhamento psicológico de Gravidez, Ansiedade, Casamento, Conflitos Familiares, Depressão, Estresse, Família, Psicologia Clínica, Relacionamentos Afetivos, TDAH (Transtorno de Déficit de Atenção e Hiperatividade), Violência Sexual, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero, Adolescência",152,4.1118421052631575
Julia Oliveira Vizotto,"Oi, que bom que você chegou até aqui!, Meu nome é Julia e sou psicoterapeuta com orientação psicanalítica, isso significa que em até 50 minutos de sessão você terá um espaço totalmente seu em que poderá dar nome as coisas, organizar seus pensamentos, atingindo assim uma vida mais harmoniosa, sabe?, Minha proposta é oferecer atenção e escuta de qualidade. Te auxiliarei a adquirir maior autonomia e a tornar-se a pessoa mais próxima do seu verdadeiro Eu., Se você se interessou só é preciso mandar uma mensagem ou marcar uma consulta :),","Acompanhamento psicológico de Gravidez, Acompanhamento pessoal, Ansiedade, Aprendizagem, Conflitos Amorosos, Conflitos Familiares, Dependência Química, Família, Fobias, Medos e Fobias, Morte e Luto, Psicologia Clínica, Psicologia Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Adolescência, Ludoterapia, Maternidade",43,5.0
Izabelle Rosas Magalhães Rocha,"Você sente que não está bem, e não é de hoje, aquele aperto no peito quer te dizer algo importante, mas você ignora uma vez, e outra, e mais outra..., E quando v...,","Acompanhamento pessoal, Acompanhamento psicológico de idosos, Ansiedade, Casal, Casamento, Conflitos Amorosos, Desenvolvimento Pessoal, Idoso / Terceira Idade, Morte e Luto, Orientação psicológica, Preparação para aposentadoria, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Violência Doméstica, Violência Sexual, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero",175,1.2742857142857142
Patricia Teshima Ishi,"Psicóloga clinica, com atendimento psicológico desde 2018 atendendo em Terapia Cognitivo-comportamental e Mindfulness, acompanhamento do paciente no desenvolvimento do auto-conhecimento, pacientes com transtorno de ansiedade, Stress,compulsão alimentar, Depressão, atendimento e aconselhamento para pais , Atendimento para terceira idade., , Para empresas realizo trabalho de seleção e palestras., ,","Depressão, Desenvolvimento Pessoal, Estresse, Estresse Pós Traumático, Idoso / Terceira Idade, Medos e Fobias, Morte e Luto, Orientação de pais, Orientação psicológica, Psicologia Clínica, Síndrome do Pânico, TOC (Transtorno Obsessivo Compulsivo), Transtorno de Humor, Transtornos Alimentares (Bulimia, Anorexia, etc), Quarentena e Isolamento Social, Adaptação ao Home Office, Sexualidade e identidade de gênero",30,4.966666666666667
Talita de Souza Siqueira,"Atendimento à Adolescentes, adultos e Idosos na abordagem Psicanalítica.,","Ansiedade, Casamento, Conflitos Amorosos, Conflitos Familiares, Depressão, Dor, Estresse, Família, Idoso / Terceira Idade, Morte e Luto, Pacientes Enfermos, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Suicídio, Transtornos Alimentares (Bulimia, Anorexia, etc), Violência Sexual, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Adolescência, Maternidade",15,5.0
Mariana Veríssimo Machado Giglio,"Seja bem-vindo (a) !, Olá, meu nome é Mariana Giglio, sou psicóloga clínica e atuo com a abordagem da psicologia analítica (Junguiana) que tem como principal objetivo ajudar o paciente a resgatar aquilo que é a sua essência. , Proponho-me a oferecer as pessoas um novo olhar sobre si mesmo, compreendendo suas experiências e vivências; em busca do seu autoconhecimento considerando a individualidade e potencialidade que possuem., A psicoterapia  é um processo que conta com o diálogo entre o terapeuta e paciente para tratar das dores, dificuldades, sofrimentos e emoções com as quais não se consegue lidar. Seja a questão discutida atual, antiga ou até futura. Pode ser um processo bastante doloroso, mas sem dúvida é transformador! , Todos nós somos seres únicos e com experiências singulares, sendo assim o processo psicoterapêutico não é linear, há sempre constantes evoluções e mudanças. É muito importante respeitar o seu próprio tempo., O propósito a que me dedico todos os dias é o de ajudar as pessoas que chegam até mim por meio de uma escuta empática, livre de preconceitos, julgamentos ou opiniões. É muito gratificante poder contribuir para a transformação de cada um., Nesta jornada sempre crescemos juntos, paciente e terapeuta!, Se quer saber um pouco mais sobre como podemos caminhar, agende um horário ou mande uma mensagem!, , ""Quem olha para fora sonha, quem olha para dentro desperta"" Carl Jung, , Instagram: @marianagiglio.psicologa, Website: www.marianagigliopsicologa.com, , *Os horários disponíveis na agenda da PsicologiaViva são exclusivos, para ter acesso a outras opções de dias e horários, entre em contato através do WhatsApp. , ,","Ansiedade, Compulsões, Conflitos Amorosos, Conflitos Familiares, Depressão, Desenvolvimento Pessoal, Dor, Estresse, Estresse Pós Traumático, Fobias, Idoso / Terceira Idade, Medos e Fobias, Morte e Luto, Psicologia Clínica, Relacionamentos Afetivos, Saúde Mental, Quarentena e Isolamento Social, Incertezas quanto ao momento e futuro, Sexualidade e identidade de gênero, Sexualidade e Identidade de gênero",20,5.0
